linhaID,paragemID,tempo,número da paragem
B,5708,0,0
B,5703,2,1
B,5712,4,2
B,5697,5,3
B,5699,7,4
B,5726,8,5
B,5713,10,6
B,5704,11,7
B,5706,13,8
B,5711,15,9
B,5721,17,10
B,5729,18,11
B,5725,20,12
B,5724,21,13
B,5737,23,14
B,5734,25,15
B,5736,27,16
B,5733,30,17
B,5750,31,18
B,5744,33,19
B,5739,35,20
B,5753,37,21
B,5743,40,22
B,5741,41,23
B,5742,43,24
B,5740,45,25
B,5735,47,26
B,5749,49,27
B,5731,50,28
B,5732,51,29
B,5747,54,30
B,5752,56,31
B,5730,57,32
B,5745,59,33
B,5748,61,34
B,5746,63,35
Bexp,5708,0,0
Bexp,5703,2,1
Bexp,5712,4,2
Bexp,5697,6,3
Bexp,5699,7,4
Bexp,5726,8,5
Bexp,5713,11,6
Bexp,5704,12,7
Bexp,5706,13,8
Bexp,5711,15,9
Bexp,5721,17,10
Bexp,5729,19,11
Bexp,5725,20,12
Bexp,5724,22,13
Bexp,5744,31,14
Bexp,5742,39,15
Bexp,5740,41,16
Bexp,5749,44,17
Bexp,5752,49,18
Bexp,5745,52,19
Bexp,5746,55,20
C,5703,0,0
C,5712,2,1
C,5697,3,2
C,5699,5,3
C,5726,7,4
C,5713,9,5
C,5704,10,6
C,5706,12,7
C,5711,14,8
C,5721,15,9
C,5729,17,10
C,5725,18,11
C,5724,20,12
C,5737,22,13
C,5755,25,14
C,5764,27,15
C,5754,30,16
C,5757,33,17
C,5763,36,18
C,5760,39,19
C,5765,42,20
C,5762,45,21
C,5756,49,22
C,5761,51,23
D,5792,0,0
D,5769,1,1
D,5774,3,2
D,5767,5,3
D,5771,7,4
D,5773,9,5
D,5778,11,6
D,5766,13,7
D,5726,15,8
D,5770,16,9
D,5775,18,10
D,5768,19,11
D,5777,20,12
D,5776,22,13
D,5772,25,14
D,5791,27,15
F,5710,0,0
F,5728,1,1
F,5705,3,2
F,5698,5,3
F,5702,7,4
F,5722,10,5
F,5714,11,6
F,5718,14,7
F,5717,16,8
F,5707,18,9
F,5708,20,10
F,5703,22,11
F,5712,24,12
F,5697,26,13
F,5699,27,14
F,5726,28,15
F,5713,31,16
F,5704,32,17
F,5706,33,18
F,5711,35,19
F,5721,37,20
F,5729,39,21
F,5725,40,22
F,5724,42,23
E,5708,0,10
E,5703,2,11
E,5712,4,12
E,5697,6,13
E,5699,7,14
E,5726,8,15
E,5713,11,16
E,5704,12,17
E,5706,13,18
E,5711,15,19
E,5721,17,20
E,5729,19,21
E,5725,20,22
E,5724,22,23
E,5737,24,24
E,5734,25,25
E,5736,28,26
E,5733,31,27
E,5750,32,28
E,5783,34,29
E,5782,36,30
A,5708,0,10
A,5703,2,11
A,5712,4,12
A,5697,6,13
A,5699,7,14
A,5726,8,15
A,5713,11,16
A,5704,12,17
A,5706,13,18
A,5711,15,19
A,5721,17,20
A,5729,19,21
A,5725,20,22
A,5724,22,23
A,5727,25,24
A,5709,27,25
A,5720,29,26
A,5719,31,27
A,5701,34,28
A,5715,35,29
A,5700,37,30
A,5716,39,31
A,5723,41,32
