idParagem,zonaIdOrigem,Nome da Paragem
5708,PRT1,Estadio do Dragao
5703,PRT1,Campanha
5712,PRT1,Heroismo
5697,PRT1,24 de Agosto
5699,PRT1,Bolhao
5726,PRT1,Trindade
5713,PRT1,Lapa
5704,PRT1,Carolina Michaelis
5706,PRT1,Casa da Musica
5711,PRT1,Francos
5721,PRT2,Ramalde
5729,PRT2,Via Rapida Viso
5725,PRT2,Sete Bicas
5724,PRT2,Senhora da Hora
5727,MTS1,Vasco da Gama
5709,MTS1,Estadio do Mar
5720,MTS1,Hospital Pedro Hispano
5719,MTS1,Parque de Real
5701,MTS1,Camara de Matosinhos
5715,MTS1,Matosinhos Sul
5700,MTS1,Brito Capelo
5716,MTS1,Mercado
5723,MTS1,Senhor de Matosinhos
5737,MAI1,Fonte do Cuco
5734,MAI1,Custoias
5736,MAI1,Esposade
5733,VCD8,Crestins
5750,VCD8,Verdes
5744,VCD8,Pedras Rubras
5739,VCD8,Lidador
5753,VCD8,Vilar Pinheiro
5743,VCD8,Modivas Sul
5741,VCD8,Modivas Centro
5740,VCD3,Mindelo
5735,VCD3,Espaco Natureza
5749,VCD3,Varziela
5731,VCD3,Arvore
5732,VCD3,Azurara
5747,PV_VC,Santa Clara
5752,PV_VC,Vila do Conde
5730,PV_VC,Alto de Pega
5745,PV_VC,Portas Fronhas
5748,PV_VC,Sao Bras
5746,PV_VC,Povoa de Varzim
5755,MAI1,Candido dos Reis
5764,MAI1,Pias
5754,MAI1,Araujo
5757,MAI1,Custio
5763,MAI1,Parque da Maia
5760,MAI1,Forum Maia
5765,MAI2,Zona Industrial
5762,MAI2,Mandim
5756,MAI2,Castelo da Maia
5761,MAI2,ISMAI
5769,VNG1,Dom Joao II
5774,VNG1,Joao de Deus
5767,VNG1,Camara de Gaia
5771,VNG1,General Torres
5773,VNG1,Jardim do Morro
5778,PRT1,Sao Bento
5766,PRT1,Aliados
5770,PRT1,Faria Guimaraes
5775,PRT1,Marques
5768,PRT1,Combatentes
5777,PRT1,Salgueiros
5776,PRT3,Polo Universitario
5772,PRT3,I.P.O.
5791,PRT3,Hospital de Sao Joao
5783,VCD8,Botica
5782,VCD8,Aeroporto
5707,PRT3,Contumil
5717,PRT3,Nasoni
5718,PRT3,Nau Vitoria
5714,MAI4,Levada
5722,MAI4,Rio Tinto
5702,MAI4,Campainha
5698,MAI4,Baguim
5705,MAI4,Carreira
5728,GDM1,Venda Nova
5710,GDM1,Fanzeres
5792,VNG1,Santo Ovidio
5742,VCD8,VC Fashion Outlet Modivas
