viagemID,linhaID,hora de partida
BU0,B,6:01:00
BU1,B,6:30:00
BU2,B,6:59:00
BU3,B,7:30:00
BU4,B,8:00:00
BU5,B,8:30:00
BU6,B,9:00:00
BU7,B,9:30:00
BU8,B,10:01:00
BU9,B,10:33:00
BU10,B,11:00:00
BU11,B,11:32:00
BU12,B,12:00:00
BU13,B,12:31:00
BU14,B,13:00:00
BU15,B,13:31:00
BU16,B,14:00:00
BU17,B,14:31:00
BU18,B,15:00:00
BU19,B,15:31:00
BU20,B,16:01:00
BU21,B,16:30:00
BU22,B,17:00:00
BU23,B,17:32:00
BU24,B,18:00:00
BU25,B,18:32:00
BU26,B,19:00:00
BU27,B,19:32:00
BU28,B,20:01:00
BU29,B,20:31:00
BU30,B,21:01:00
BU31,B,21:31:00
BU32,B,22:01:00
BU33,B,22:31:00
BU34,B,23:01:00
BU35,B,23:31:00
BU36,B,24:01:00
BU37,B,24:32:00
BU38,B,5:44:00
BU39,B,6:19:00
BU40,B,6:50:00
BU41,B,7:19:00
BU42,B,7:49:00
BU43,B,8:08:00
BU44,B,8:20:00
BU45,B,8:50:00
BU46,B,9:20:00
BU47,B,9:50:00
BU48,B,10:21:00
BU49,B,10:50:00
BU50,B,11:21:00
BU51,B,11:50:00
BU52,B,12:21:00
BU53,B,12:50:00
BU54,B,13:21:00
BU55,B,13:50:00
BU56,B,14:21:00
BU57,B,14:51:00
BU58,B,15:19:00
BU59,B,15:50:00
BU60,B,16:19:00
BU61,B,16:50:00
BU62,B,17:19:00
BU63,B,17:50:00
BU64,B,18:19:00
BU65,B,18:50:00
BU66,B,19:20:00
BU67,B,19:50:00
BU68,B,20:18:00
BU69,B,20:47:00
BU70,B,21:17:00
BU71,B,21:47:00
BU72,B,22:17:00
BU73,B,22:49:00
BU74,B,23:17:00
BU75,B,23:49:00
BU76,B,24:27:00
BexpU0,Bexp,6:43:00
BexpU1,Bexp,7:11:00
BexpU2,Bexp,7:44:00
BexpU3,Bexp,8:17:00
BexpU4,Bexp,8:48:00
BexpU5,Bexp,9:18:00
BexpU6,Bexp,9:44:00
BexpU7,Bexp,10:15:00
BexpU8,Bexp,10:46:00
BexpU9,Bexp,11:16:00
BexpU10,Bexp,11:46:00
BexpU11,Bexp,12:16:00
BexpU12,Bexp,12:46:00
BexpU13,Bexp,13:16:00
BexpU14,Bexp,13:46:00
BexpU15,Bexp,14:16:00
BexpU16,Bexp,14:46:00
BexpU17,Bexp,15:15:00
BexpU18,Bexp,15:46:00
BexpU19,Bexp,16:15:00
BexpU20,Bexp,16:45:00
BexpU21,Bexp,17:12:00
BexpU22,Bexp,17:45:00
BexpU23,Bexp,18:12:00
BexpU24,Bexp,18:45:00
BexpU25,Bexp,19:12:00
BexpU26,Bexp,19:46:00
BexpU27,Bexp,6:40:00
BexpU28,Bexp,7:10:00
BexpU29,Bexp,7:40:00
BexpU30,Bexp,8:03:00
BexpU31,Bexp,8:40:00
BexpU32,Bexp,9:11:00
BexpU33,Bexp,9:44:00
BexpU34,Bexp,10:14:00
BexpU35,Bexp,10:44:00
BexpU36,Bexp,11:14:00
BexpU37,Bexp,11:44:00
BexpU38,Bexp,12:14:00
BexpU39,Bexp,12:44:00
BexpU40,Bexp,13:14:00
BexpU41,Bexp,13:43:00
BexpU42,Bexp,14:14:00
BexpU43,Bexp,14:43:00
BexpU44,Bexp,15:08:00
BexpU45,Bexp,15:40:00
BexpU46,Bexp,16:11:00
BexpU47,Bexp,16:43:00
BexpU48,Bexp,17:11:00
BexpU49,Bexp,17:43:00
BexpU50,Bexp,18:10:00
BexpU51,Bexp,18:43:00
BexpU52,Bexp,19:11:00
BexpU53,Bexp,19:46:00
CU0,C,5:58:00
CU1,C,6:30:00
CU2,C,6:59:00
CU3,C,7:22:00
CU4,C,7:36:00
CU5,C,7:50:00
CU6,C,8:12:00
CU7,C,8:23:00
CU8,C,8:36:00
CU9,C,9:00:00
CU10,C,9:12:00
